name,latitude,longitude,hae,id
gsd_1,26.73,-82.03,0.0,1
gsd_2,67.88,21.07,0.0,2
gsd_3,29,-81,0.0,3
gsd_4,42,13.55,0.0,4
gsd_5,-25.64,28.08,0.0,5
gsd_6,68.4,-133.5,0.0,6
gsd_7,-77.81,166.69,0.0,7
gsd_8,-63.32,-57.9,0.0,8
gsd_9,-53,-71,0.0,9
gsd_10,-33.13,-70.67,0.0,10
gsd_11,78.22,15.39,0.0,11
gsd_12,-29.05,114.9,0.0,12
gsd_13,37.94,-75.49,0.0,13
gsd_14,47.84,11.14,0.0,14
gsd_15,19.82,-155.47,0.0,15
gsd_16,35.69,139.69,0.0,16
gsd_17,1.35,103.82,0.0,17
gsd_18,-72.1,2.32,0.0,18
gsd_19,70.37,31.1,0.0,19
gsd_20,69.65,18.96,0.0,20
gsd_21,58.34,8.59,0.0,21
gsd_22,38.69,-4.11,0.0,22
gsd_23,25.2,55.27,0.0,23
gsd_24,-20.35,57.55,0.0,24
gsd_25,8.54,-80.78,0.0,25
gsd_26,4.84,10.1,0.0,26
gsd_27,-46.02,167.81,0.0,27
gsd_28,5.16,-52.65,0.0,28
gsd_29,50,5.16,0.0,29
gsd_30,40.46,4.46,0.0,30
gsd_31,40.26,-3.57,0.0,31
gsd_32,27.45,-15.38,0.0,32
gsd_33,36.59,-25.08,0.0,33
gsd_34,-25.78,-69.4,0.0,34
gsd_35,50.12,9.92,0.0,35
gsd_36,-31.8,115.89,0.0,36
gsd_37,28.55,77.29,0.0,37
gsd_38,13.13,80.17,0.0,38
gsd_39,30.58,104.11,0.0,39
gsd_40,-6.34,106.86,0.0,40
gsd_41,55.02,82.84,0.0,41
gsd_42,-22.98,-43.35,0.0,42
gsd_43,9.01,38.76,0.0,43
gsd_44,-22.26,166.4,0.0,44
gsd_45,13.42,144.75,0.0,45
gsd_46,-15.97,-5.71,0.0,46
gsd_47,-4.63,55.45,0.0,47
gsd_48,-8.84,13.23,0.0,48
gsd_49,13.1,-59.63,0.0,49
gsd_50,59.65,-151.54,0.0,50
gsd_51,64.18,-51.74,0.0,51
gsd_52,43.06,141.34,0.0,52
gsd_53,-34.93,138.6,0.0,53
gsd_54,5.56,-0.2,0.0,54
gsd_55,6.52,3.38,0.0,55
gsd_56,-12.25,-76.88,0.0,56
gsd_57,-22.85,-47.21,0.0,57
gsd_58,11.83,42.59,0.0,58
gsd_59,24.45,54.38,0.0,59
gsd_60,22.32,114.18,0.0,60
gsd_61,48.09,-119.78,0.0,61
gsd_62,34.05,-118.24,0.0,62
gsd_63,34.15,-99.27,0.0,63
gsd_64,24.86,67.1,0.0,64
gsd_65,50.45,30.52,0.0,65
gsd_66,-32.23,148.63,0.0,66
gsd_67,39.74,-104.99,0.0,67
gsd_68,35.36,128.41,0.0,68
gsd_69,38.25,-122.28,0.0,69
gsd_70,45.42,-75.7,0.0,70
gsd_71,62.45,-114.37,0.0,71
gsd_72,47.56,-52.71,0.0,72
gsd_73,63.75,-68.52,0.0,73
gsd_74,52.13,-106.67,0.0,74
gsd_75,19.43,-99.13,0.0,75
gsd_76,14.55,-23.31,0.0,76
gsd_77,64.86,-147.85,0.0,77
